targetSize,pdx,pdy,btn
39,2,3,0
39,2,3,0
39,1,3,0
39,1,3,0
39,1,3,0
39,1,3,0
39,1,3,0
39,0,3,0
39,0,3,0
39,0,3,0
39,0,3,0
39,0,3,0
39,0,3,0
39,0,3,0
26,0,3,0
26,-6,7,0
26,-2,-1,0
26,-3,-1,0
26,-7,-2,0
26,-10,-3,0
26,-15,-4,0
26,-18,-6,0
26,-19,-6,0
26,-23,-8,0
26,-28,-9,0
26,-34,-11,0
26,-31,-10,0
26,-31,-10,0
26,-27,-8,0
26,-18,-5,0
26,-7,-2,0
26,0,1,0
26,5,2,0
26,9,2,0
26,8,-1,0
26,7,-2,0
26,6,-4,0
26,6,-5,0
26,6,-6,0
26,7,-7,0
26,8,-8,0
26,8,-9,0
26,8,-9,0
26,8,-9,0
26,7,-8,0
26,7,-8,0
26,7,-8,0
26,7,-8,0
26,7,-8,0
26,8,-8,0
26,8,-9,0
26,8,-9,0
26,8,-9,0
26,8,-9,0
26,8,-9,0
26,8,-9,0
26,8,-9,0
26,8,-9,0
26,8,-9,0
26,8,-9,0
26,8,-9,0
26,8,-9,0
26,8,-9,0
26,8,-9,0
26,8,-8,0
26,7,-8,0
26,7,-8,0
26,7,-8,0
26,7,-8,0
26,7,-8,0
26,7,-7,0
26,6,-7,0
26,6,-7,0
26,6,-7,0
26,6,-6,0
26,6,-6,0
26,6,-6,0
26,5,-6,0
26,5,-6,0
26,5,-5,0
26,5,-5,0
26,5,-5,0
26,5,-5,0
26,4,-5,0
26,4,-4,0
26,4,-4,0
26,4,-4,0
26,4,-4,0
26,4,-4,0
26,3,-3,0
26,3,-3,0
26,3,-3,0
26,3,-2,0
26,2,-2,0
26,2,-2,0
26,2,-2,0
26,2,-1,0
26,2,-1,0
26,1,-1,0
26,1,-1,0
26,1,-1,0
26,1,0,0
26,1,0,0
26,1,0,0
26,1,0,0
26,1,0,0
26,1,0,0
26,1,1,0
26,1,1,0
26,1,1,0
26,1,1,0
26,1,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,1,0
26,2,0,0
26,2,0,0
26,2,0,0
26,2,0,0
26,2,0,0
26,2,0,0
26,2,0,0
26,2,0,0
26,2,0,0
26,2,0,0
26,2,0,0
26,2,0,0
26,2,0,0
