dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY
0,1,1,-0.0,0.6899999976158142,0.09480786323547363,911.2565928738585,28,-722,607,854,671,64,1576,64
0,0,0,-0.0,-0.0,0.0967867374420166,911.2565928738585,28,-722,607,854,671,64,1576,64
1,0,0,0.6899999976158142,-0.0,0.10279178619384766,911.2565928738585,28,-722,607,854,671,64,1576,64
0,1,0,-0.0,0.6899999976158142,0.11087369918823242,911.2565928738585,28,-722,607,854,671,64,1576,64
1,1,0,0.6899999976158142,0.6899999976158142,0.11882972717285156,911.2565928738585,28,-722,607,854,671,64,1576,64
0,1,0,-0.0,0.6899999976158142,0.12687373161315918,911.2565928738585,28,-722,607,854,671,64,1576,64
0,1,0,-0.0,0.6899999976158142,0.1348428726196289,911.2565928738585,28,-722,607,854,671,64,1576,64
0,1,0,-0.0,0.6899999976158142,0.15095090866088867,911.2565928738585,28,-722,607,854,671,64,1576,64
-1,1,0,-0.6899999976158142,0.6899999976158142,0.1909637451171875,911.2565928738585,28,-722,607,854,671,64,1576,64
-1,0,0,-0.6899999976158142,-0.0,0.19892668724060059,911.2565928738585,28,-722,607,854,671,64,1576,64
-2,2,0,-1.5800000429153442,1.5800000429153442,0.20689678192138672,909.8476522240738,28,-721,606,854,671,64,1576,64
-2,2,0,-1.5800000429153442,1.5800000429153442,0.2147667407989502,908.4387274033328,28,-720,605,854,671,64,1576,64
-4,2,0,-3.680000066757202,1.840000033378601,0.2228388786315918,905.4993333330963,28,-717,604,854,671,64,1576,64
-4,4,0,-4.047999858856201,4.047999858856201,0.23081183433532715,899.8631873832123,28,-713,600,854,671,64,1576,64
-7,6,0,-8.913333177566528,7.639999866485596,0.23879671096801758,889.2350405841063,28,-705,593,854,671,64,1576,64
-8,6,0,-10.447999954223633,7.835999965667725,0.24684786796569824,877.0770044391179,28,-695,586,854,671,64,1576,64
-10,8,0,-13.541666269302368,10.833333015441895,0.2547628879547119,860.6925562588724,28,-682,576,854,671,64,1576,64
-10,10,0,-14.47857141494751,14.47857141494751,0.26282572746276855,840.9650623020374,28,-668,562,854,671,64,1576,64
-11,11,0,-17.299333095550537,17.299333095550537,0.2709007263183594,817.0147230761078,28,-651,545,854,671,64,1576,64
-14,12,0,-26.047779083251953,22.32666778564453,0.2789938449859619,782.9564405537268,28,-625,523,854,671,64,1576,64
-13,13,0,-24.187223434448242,24.187223434448242,0.28689074516296387,749.1542741353977,28,-601,499,854,671,64,1576,64
-19,15,0,-42.18791890144348,33.306251764297485,0.29490184783935547,695.7616368015011,28,-559,466,854,671,64,1576,64
-20,15,0,-45.27200222015381,33.954001665115356,0.3028428554534912,640.0751446081011,28,-514,433,854,671,64,1576,64
-19,14,0,-41.2960889339447,30.428697109222412,0.3111116886138916,589.400032185387,28,-473,403,854,671,64,1576,64
-18,13,0,-38.20090913772583,27.589545488357544,0.31894588470458984,542.9791300560395,28,-435,376,854,671,64,1576,64
-18,12,0,-37.191428661346436,24.794285774230957,0.3270418643951416,499.32664153042424,28,-398,352,854,671,64,1576,64
-18,11,0,-37.191428661346436,22.728095293045044,0.33487582206726074,457.10223880084624,28,-361,330,854,671,64,1576,64
-15,11,0,-27.908334732055664,20.46611213684082,0.34293174743652344,423.692879031481,28,-334,310,854,671,64,1576,64
-15,11,0,-27.908334732055664,20.46611213684082,0.35088586807250977,390.3138643236805,28,-307,290,854,671,64,1576,64
-14,10,0,-24.854118585586548,17.752941846847534,0.3588888645172119,361.21495393741066,28,-283,273,854,671,64,1576,64
-12,9,0,-18.871999740600586,14.15399980545044,0.3669567108154297,338.54824247323046,28,-265,259,854,671,64,1576,64
-8,8,0,-10.654544830322266,10.654544830322266,0.37493371963500977,324.4070706369333,28,-255,249,854,671,64,1576,64
-6,6,0,-7.394999742507935,7.394999742507935,0.38281869888305664,314.5082971589569,28,-248,242,854,671,64,1576,64
-6,7,0,-7.639999866485596,8.913333177566528,0.3908498287200928,303.9121909070881,28,-241,234,854,671,64,1576,64
-5,6,0,-5.900000333786011,7.080000400543213,0.3988797664642334,295.4522866006588,28,-236,227,854,671,64,1576,64
-5,6,0,-5.900000333786011,7.080000400543213,0.4068946838378906,287.0,28,-231,220,854,671,64,1576,64
-7,6,0,-8.913333177566528,7.639999866485596,0.41481781005859375,276.37963616296065,28,-223,213,854,671,64,1576,64
-6,5,0,-7.080000400543213,5.900000333786011,0.4228987693786621,267.866637023861,28,-216,208,854,671,64,1576,64
-5,4,0,-5.558333396911621,4.446666717529297,0.43091368675231934,261.4910560817825,28,-211,204,854,671,64,1576,64
-4,4,0,-4.047999858856201,4.047999858856201,0.43890380859375,255.83502219153252,28,-207,200,854,671,64,1576,64
-5,4,0,-5.558333396911621,4.446666717529297,0.44683384895324707,249.46047679914136,28,-202,196,854,671,64,1576,64
-5,4,0,-5.558333396911621,4.446666717529297,0.45484375953674316,243.0872588834314,28,-197,192,854,671,64,1576,64
-6,4,0,-7.080000400543213,4.720000267028809,0.46286487579345703,235.29010456805167,28,-190,188,854,671,64,1576,64
-6,5,0,-7.080000400543213,5.900000333786011,0.47078490257263184,226.80108191427638,28,-183,183,854,671,64,1576,64
-7,6,0,-8.913333177566528,7.639999866485596,0.478975772857666,216.1954874690513,28,-175,176,854,671,64,1576,64
-7,7,0,-8.913333177566528,8.913333177566528,0.4868898391723633,204.8818270783979,28,-167,168,854,671,64,1576,64
-8,7,0,-10.447999954223633,9.141999959945679,0.49492573738098145,191.45021816950637,28,-157,159,854,671,64,1576,64
-6,5,0,-7.080000400543213,5.900000333786011,0.5028986930847168,182.97906874856446,28,-150,154,854,671,64,1576,64
-5,5,0,-5.900000333786011,5.900000333786011,0.5108907222747803,175.90863377935992,28,-145,149,854,671,64,1576,64
-5,3,0,-5.0599998235702515,3.035999894142151,0.5188958644866943,170.27703774773843,28,-140,146,854,671,64,1576,64
-4,5,0,-4.446666717529297,5.558333396911621,0.5267636775970459,163.90048494069634,28,-136,141,854,671,64,1576,64
-6,4,0,-7.080000400543213,4.720000267028809,0.5347938537597656,156.1754500459611,28,-129,137,854,671,64,1576,64
-6,5,0,-7.080000400543213,5.900000333786011,0.542853832244873,147.74426277353055,28,-122,132,854,671,64,1576,64
-6,5,0,-7.080000400543213,5.900000333786011,0.5508747100830078,139.3300907604966,28,-115,127,854,671,64,1576,64
-8,5,0,-10.186666488647461,6.366666555404663,0.5588908195495605,128.20611723651504,28,-105,121,854,671,64,1576,64
-8,5,0,-10.186666488647461,6.366666555404663,0.5668058395385742,117.16433890176299,28,-95,115,854,671,64,1576,64
-7,5,0,-8.62749969959259,6.162499785423279,0.5749118328094482,107.46325680981354,28,-87,109,854,671,64,1576,64
-7,6,0,-8.913333177566528,7.639999866485596,0.5828888416290283,97.01550294441361,28,-79,102,854,671,64,1576,64
-8,5,0,-10.186666488647461,6.366666555404663,0.5909059047698975,86.22436297142819,28,-69,96,854,671,64,1576,64
-9,6,0,-11.753999948501587,7.835999965667725,0.5990056991577148,74.23088063270491,28,-58,89,854,671,64,1576,64
-8,7,0,-10.447999954223633,9.141999959945679,0.6069278717041016,61.29523031752481,28,-48,80,854,671,64,1576,64
-8,5,0,-10.186666488647461,6.366666555404663,0.614804744720459,51.18653737234169,28,-38,74,854,671,64,1576,64
-7,6,0,-8.913333177566528,7.639999866485596,0.6227908134460449,41.40980860893181,28,-30,67,854,671,64,1576,64
-5,4,0,-5.558333396911621,4.446666717529297,0.6309118270874023,35.779052811322174,28,-25,63,854,671,64,1576,64
-4,4,0,-4.047999858856201,4.047999858856201,0.6389017105102539,30.625873247404705,28,-21,59,854,671,64,1576,64
-2,3,0,-1.7466665506362915,2.6199998259544373,0.647385835647583,28.406953242155822,28,-20,57,854,671,64,1576,64
-3,3,0,-2.7600000500679016,2.7600000500679016,0.6549267768859863,25.87054518492115,28,-18,55,854,671,64,1576,64
-2,4,0,-1.840000033378601,3.680000066757202,0.6632506847381592,22.708317466359723,28,-17,52,854,671,64,1576,64
-3,3,0,-2.7600000500679016,2.7600000500679016,0.671088695526123,20.201532544552748,28,-15,50,854,671,64,1576,64
-2,4,0,-1.840000033378601,3.680000066757202,0.6787598133087158,17.040799340956916,28,-14,47,854,671,64,1576,64
-2,4,0,-1.840000033378601,3.680000066757202,0.6868166923522949,13.880278987817846,28,-13,44,854,671,64,1576,64
-2,3,0,-1.7466665506362915,2.6199998259544373,0.694847822189331,11.68065933568311,28,-12,42,854,671,64,1576,64
-1,3,0,-0.8733332753181458,2.6199998259544373,0.7028598785400391,9.761226035642203,28,-12,40,854,671,64,1576,64
-1,3,0,-0.8733332753181458,2.6199998259544373,0.7109527587890625,7.849717690342551,28,-12,38,854,671,64,1576,64
0,2,0,-0.0,1.5800000429153442,0.7189078330993652,6.897300677553446,28,-12,37,854,671,64,1576,64
-1,3,0,-0.8733332753181458,2.6199998259544373,0.7269248962402344,5.0,28,-12,35,854,671,64,1576,64
-1,2,0,-0.7900000214576721,1.5800000429153442,0.734987735748291,4.055512754639892,28,-12,34,854,671,64,1576,64
-2,3,0,-1.7466665506362915,2.6199998259544373,0.7429347038269043,1.8378486313772626,28,-11,32,854,671,64,1576,64
-2,3,0,-1.7466665506362915,2.6199998259544373,0.7508656978607178,-0.37722339831620744,28,-10,30,854,671,64,1576,64
-2,2,0,-1.5800000429153442,1.5800000429153442,0.758847713470459,-1.6355470986220482,28,-9,29,854,671,64,1576,64
-1,3,0,-0.8733332753181458,2.6199998259544373,0.7668757438659668,-3.5395010584845856,28,-9,27,854,671,64,1576,64
0,0,1,-0.0,-0.0,0.7749347686767578,-3.5395010584845856,28,-9,27,854,671,64,1576,64
-1,2,1,-0.7900000214576721,1.5800000429153442,0.0019502639770507812,598.4657666623059,29,-506,-327,357,318,9,863,644
-1,2,1,-0.7900000214576721,1.5800000429153442,0.009975194931030273,599.0091209923777,29,-506,-328,357,318,9,863,644
-2,2,1,-1.5800000429153442,1.5800000429153442,0.017960309982299805,598.7155216186156,29,-505,-329,357,318,9,863,644
-1,1,1,-0.6899999976158142,0.6899999976158142,0.025959253311157227,598.7155216186156,29,-505,-329,357,318,9,863,644
0,1,1,-0.0,0.6899999976158142,0.03400135040283203,598.7155216186156,29,-505,-329,357,318,9,863,644
0,0,0,-0.0,-0.0,0.08604931831359863,598.7155216186156,29,-505,-329,357,318,9,863,644
1,-1,0,0.6899999976158142,-0.6899999976158142,0.14598321914672852,598.7155216186156,29,-505,-329,357,318,9,863,644
1,-2,0,0.7900000214576721,-1.5800000429153442,0.15395426750183105,598.1702417091034,29,-505,-328,357,318,9,863,644
1,-2,0,0.7900000214576721,-1.5800000429153442,0.16188430786132812,597.6261297516922,29,-505,-327,357,318,9,863,644
1,-1,0,0.6899999976158142,-0.6899999976158142,0.16994738578796387,597.6261297516922,29,-505,-327,357,318,9,863,644
1,-3,0,0.8733332753181458,-2.6199998259544373,0.17792320251464844,596.5414223848343,29,-505,-325,357,318,9,863,644
0,-2,0,-0.0,-1.5800000429153442,0.18610334396362305,596.0008333327546,29,-505,-324,357,318,9,863,644
0,-3,0,-0.0,-2.6199998259544373,0.1939401626586914,594.9232004188851,29,-505,-322,357,318,9,863,644
-3,-3,0,-2.7600000500679016,-2.7600000500679016,0.20204424858093262,592.1618907645808,29,-503,-320,357,318,9,863,644
-3,-3,0,-2.7600000500679016,-2.7600000500679016,0.20998930931091309,589.4012133455744,29,-501,-318,357,318,9,863,644
-5,-4,0,-5.558333396911621,-4.446666717529297,0.21796631813049316,583.0366257738949,29,-496,-314,357,318,9,863,644
-7,-6,0,-8.913333177566528,-7.639999866485596,0.2259523868560791,572.5353415012821,29,-488,-307,357,318,9,863,644
-9,-7,0,-11.986362934112549,-9.322726726531982,0.2339763641357422,558.4348851200466,29,-477,-298,357,318,9,863,644
-11,-6,0,-14.895832896232605,-8.124999761581421,0.24197936058044434,542.3231644365815,29,-463,-290,357,318,9,863,644
-15,-10,0,-27.908334732055664,-18.60555648803711,0.2501082420349121,509.8871471441954,29,-436,-272,357,318,9,863,644
-16,-11,0,-30.972631454467773,-21.293684124946594,0.25795531272888184,473.32274196815723,29,-406,-251,357,318,9,863,644
-17,-10,0,-32.90842092037201,-19.35789465904236,0.2659783363342285,436.1136216933077,29,-374,-232,357,318,9,863,644
-17,-10,0,-32.90842092037201,-19.35789465904236,0.27405428886413574,398.90569616226577,29,-342,-213,357,318,9,863,644
-18,-10,0,-36.08099842071533,-20.04499912261963,0.2819702625274658,357.7803200838874,29,-306,-193,357,318,9,863,644
-18,-9,0,-36.08099842071533,-18.040499210357666,0.28997230529785156,317.7530108639234,29,-270,-175,357,318,9,863,644
-18,-8,0,-34.844210386276245,-15.486315727233887,0.2980213165283203,281.12453419514776,29,-236,-160,357,318,9,863,644
-16,-7,0,-28.404706954956055,-12.427059292793274,0.3060472011566162,251.2802381697416,29,-208,-148,357,318,9,863,644
-14,-6,0,-22.017333030700684,-9.435999870300293,0.31432032585144043,228.2003445303215,29,-186,-139,357,318,9,863,644
-12,-6,0,-16.4769229888916,-8.2384614944458,0.32209229469299316,210.61826576505553,29,-170,-131,357,318,9,863,644
-8,-4,0,-9.859999656677246,-4.929999828338623,0.3299281597137451,201.0609665440988,29,-161,-127,357,318,9,863,644
-7,-4,0,-8.62749969959259,-4.929999828338623,0.3380162715911865,192.31097778779463,29,-153,-123,357,318,9,863,644
-5,-5,0,-5.900000333786011,-5.900000333786011,0.34613037109375,185.2828571212935,29,-148,-118,357,318,9,863,644
-4,-4,0,-4.047999858856201,-4.047999858856201,0.35385918617248535,179.6627343801676,29,-144,-114,357,318,9,863,644
-4,-3,0,-4.047999858856201,-3.035999894142151,0.36194825172424316,174.6644900364927,29,-140,-111,357,318,9,863,644
-3,-3,0,-2.7600000500679016,-2.7600000500679016,0.36996936798095703,171.85505395068975,29,-138,-109,357,318,9,863,644
-5,-2,0,-5.0599998235702515,-2.0239999294281006,0.37811732292175293,166.6985647274165,29,-133,-107,357,318,9,863,644
-6,-4,0,-7.080000400543213,-4.720000267028809,0.38610219955444336,158.74212730574712,29,-126,-103,357,318,9,863,644
-8,-5,0,-10.186666488647461,-6.366666555404663,0.39395928382873535,147.21177202850313,29,-116,-97,357,318,9,863,644
-9,-5,0,-11.753999948501587,-6.5299999713897705,0.40198731422424316,134.94603268895446,29,-105,-91,357,318,9,863,644
-9,-5,0,-11.753999948501587,-6.5299999713897705,0.4098973274230957,122.73200069437868,29,-94,-85,357,318,9,863,644
-7,-4,0,-8.62749969959259,-4.929999828338623,0.4179072380065918,114.1397477566293,29,-86,-81,357,318,9,863,644
-6,-5,0,-7.080000400543213,-5.900000333786011,0.425950288772583,105.62207806824317,29,-79,-76,357,318,9,863,644
-7,-5,0,-8.62749969959259,-6.162499785423279,0.4340932369232178,95.70456358662827,29,-71,-70,357,318,9,863,644
-6,-5,0,-7.080000400543213,-5.900000333786011,0.4420351982116699,87.21951545584969,29,-64,-65,357,318,9,863,644
