dx,dy,button,rx,ry,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID
0,-2,0,-0.0,-1.5800000429153442,0.7079014778137207,-8.0,0,4,683,72,24,1142,925,12
-1,-3,0,-0.8733332753181458,-2.6199998259544373,0.7159605026245117,-6.0,0,6,683,72,24,1142,925,12
-1,-3,0,-0.8733332753181458,-2.6199998259544373,0.7241466045379639,-4.0,0,8,683,72,24,1142,925,12
-1,-3,0,-0.8733332753181458,-2.6199998259544373,0.7321245670318604,-2.0,0,10,683,72,24,1142,925,12
0,-2,0,-0.0,-1.5800000429153442,0.7400355339050293,-1.0,0,11,683,72,24,1142,925,12
0,-3,0,-0.0,-2.6199998259544373,0.7479734420776367,1.0,0,13,683,72,24,1142,925,12
-1,-1,0,-0.6899999976158142,-0.6899999976158142,0.7559676170349121,1.0,0,13,683,72,24,1142,925,12
0,0,1,-0.0,-0.0,0.8120734691619873,1.0,0,13,683,72,24,1142,925,12
1,-1,1,0.6899999976158142,-0.6899999976158142,0.013545036315917969,1462.2446180167647,1163,935,1846,994,61,683,59,13
1,-1,1,0.6899999976158142,-0.6899999976158142,0.021448135375976562,1462.2446180167647,1163,935,1846,994,61,683,59,13
0,0,0,-0.0,-0.0,0.10130715370178223,1462.2446180167647,1163,935,1846,994,61,683,59,13
2,1,0,1.5800000429153442,0.7900000214576721,0.1893291473388672,1461.465386792466,1162,935,1846,994,61,683,59,13
2,5,0,2.0239999294281006,5.0599998235702515,0.19742298126220703,1456.7750334196496,1160,930,1846,994,61,683,59,13
4,9,0,5.0933332443237305,11.459999799728394,0.2053511142730713,1446.003387529988,1155,919,1846,994,61,683,59,13
6,10,0,7.990908622741699,13.318181037902832,0.214339017868042,1432.4431612886704,1148,906,1846,994,61,683,59,13
11,11,0,17.299333095550537,17.299333095550537,0.22169995307922363,1408.5694282863096,1131,889,1846,994,61,683,59,13
15,12,0,29.036841988563538,23.22947359085083,0.22971415519714355,1371.5562778568687,1102,866,1846,994,61,683,59,13
18,14,0,38.20090913772583,29.7118182182312,0.23749208450317383,1323.7595798368336,1064,837,1846,994,61,683,59,13
20,14,0,44.40833568572998,31.085834980010986,0.24529314041137695,1270.01384608011,1020,806,1846,994,61,683,59,13
20,15,0,45.27200222015381,33.954001665115356,0.2535090446472168,1214.2483674893851,975,773,1846,994,61,683,59,13
23,16,0,54.616785526275635,37.994285583496094,0.261307954788208,1148.9558940011284,921,736,1846,994,61,683,59,13
22,17,0,51.49629497528076,39.79259157180786,0.2693660259246826,1084.768585850893,870,697,1846,994,61,683,59,13
21,17,0,49.15555429458618,39.79259157180786,0.2775411605834961,1022.1430511104468,821,658,1846,994,61,683,59,13
21,16,0,48.372692584991455,36.855384826660156,0.28545498847961426,962.1758916643762,773,622,1846,994,61,683,59,13
21,18,0,49.15555429458618,42.13333225250244,0.29332709312438965,897.672355953329,724,580,1846,994,61,683,59,13
20,18,0,46.069231033325195,41.462307929992676,0.30137014389038086,836.1437525030126,678,539,1846,994,61,683,59,13
22,17,0,51.49629497528076,39.79259157180786,0.30930304527282715,771.9532405321397,627,500,1846,994,61,683,59,13
20,17,0,46.069231033325195,39.158846378326416,0.3182499408721924,711.6751310378419,581,461,1846,994,61,683,59,13
20,16,0,45.27200222015381,36.21760177612305,0.3254411220550537,654.0475129696767,536,425,1846,994,61,683,59,13
21,14,0,47.5356023311615,31.690401554107666,0.33351802825927734,597.9785028167763,489,394,1846,994,61,683,59,13
18,13,0,38.20090913772583,27.589545488357544,0.3415250778198242,551.455071351175,451,367,1846,994,61,683,59,13
17,11,0,34.07649850845337,22.049499034881592,0.34939098358154297,511.21529911856703,417,345,1846,994,61,683,59,13
17,12,0,34.07649850845337,24.053998947143555,0.3573169708251953,469.7299270606074,383,321,1846,994,61,683,59,13
16,10,0,29.768890380859375,18.60555648803711,0.36538195610046387,435.966737010272,354,303,1846,994,61,683,59,13
15,12,0,29.036841988563538,23.22947359085083,0.37351393699645996,398.981351576033,325,280,1846,994,61,683,59,13
15,13,0,29.036841988563538,25.165263056755066,0.3813650608062744,360.6929740857903,296,255,1846,994,61,683,59,13
