dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY
-1,8,0,-1.2324999570846558,9.859999656677246,15.32615065574646,927.0856954028906,27,-892,330,133,1116,49,1363,485
0,8,0,-0.0,9.859999656677246,15.334104537963867,924.0005274260136,27,-892,321,133,1116,49,1363,485
0,8,0,-0.0,9.859999656677246,15.342081546783447,920.9910052481981,27,-892,312,133,1116,49,1363,485
-1,7,0,-1.1800000667572021,8.260000467300415,15.350168704986572,917.4334814526197,27,-891,304,133,1116,49,1363,485
-1,7,0,-1.1800000667572021,8.260000467300415,15.357895612716675,913.9317672410931,27,-890,296,133,1116,49,1363,485
-1,5,0,-1.0119999647140503,5.0599998235702515,15.365928649902344,911.4154157378421,27,-889,291,133,1116,49,1363,485
-2,6,0,-2.2233333587646484,6.670000076293945,15.37376856803894,907.6619558616741,27,-887,285,133,1116,49,1363,485
-1,6,0,-1.1116666793823242,6.670000076293945,15.381780624389648,904.8901980320387,27,-886,279,133,1116,49,1363,485
-1,6,0,-1.1116666793823242,6.670000076293945,15.390140533447266,902.150095826805,27,-885,273,133,1116,49,1363,485
-2,4,0,-1.840000033378601,3.680000066757202,15.398067712783813,900.3137995291426,27,-884,270,133,1116,49,1363,485
-2,5,0,-2.0239999294281006,5.0599998235702515,15.406017541885376,896.9500529344683,27,-882,265,133,1116,49,1363,485
-3,5,0,-3.035999894142151,5.0599998235702515,15.414058685302734,892.6466058410952,27,-879,260,133,1116,49,1363,485
-1,5,0,-1.0119999647140503,5.0599998235702515,15.421908617019653,890.2805915035055,27,-878,255,133,1116,49,1363,485
-3,4,0,-3.035999894142151,4.047999858856201,15.429768562316895,886.2889651094316,27,-875,251,133,1116,49,1363,485
-1,4,0,-0.9200000166893005,3.680000066757202,15.437928676605225,885.466327029209,27,-875,248,133,1116,49,1363,485
-2,3,0,-1.7466665506362915,2.6199998259544373,15.445737600326538,883.9603515572693,27,-874,246,133,1116,49,1363,485
-1,3,0,-0.8733332753181458,2.6199998259544373,15.453720569610596,883.4205199354927,27,-874,244,133,1116,49,1363,485
-2,4,0,-1.840000033378601,3.680000066757202,15.461698532104492,881.6544594932441,27,-873,241,133,1116,49,1363,485
-3,3,0,-2.7600000500679016,2.7600000500679016,15.4700345993042,879.1954384295793,27,-871,239,133,1116,49,1363,485
-2,3,0,-1.7466665506362915,2.6199998259544373,15.477929592132568,877.7033880384391,27,-870,237,133,1116,49,1363,485
-3,4,0,-3.035999894142151,4.047999858856201,15.485902547836304,873.7627749021453,27,-867,233,133,1116,49,1363,485
-2,2,0,-1.5800000429153442,1.5800000429153442,15.493871688842773,872.5377850375298,27,-866,232,133,1116,49,1363,485
-2,3,0,-1.7466665506362915,2.6199998259544373,15.502148628234863,871.0558641783205,27,-865,230,133,1116,49,1363,485
-3,3,0,-2.7600000500679016,2.7600000500679016,15.510000705718994,868.6102172841178,27,-863,228,133,1116,49,1363,485
-2,3,0,-1.7466665506362915,2.6199998259544373,15.51769757270813,867.1341088747529,27,-862,226,133,1116,49,1363,485
-2,3,0,-1.7466665506362915,2.6199998259544373,15.52576470375061,865.6611714579883,27,-861,224,133,1116,49,1363,485
-2,4,0,-1.840000033378601,3.680000066757202,15.533678531646729,863.9420026105308,27,-860,221,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.542009592056274,863.6936408468858,27,-860,220,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.550028562545776,863.4463364057569,27,-860,219,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.55789065361023,863.2000901713209,27,-860,218,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,15.566037654876709,863.2000901713209,27,-860,218,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.573900699615479,862.9549030249509,27,-860,217,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.58195948600769,862.710775845202,27,-860,216,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.589796543121338,862.467709507797,27,-860,215,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.59785270690918,862.2257048856121,27,-860,214,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.605811595916748,861.9847628486621,27,-860,213,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.613869667053223,861.7448842640865,27,-860,212,133,1116,49,1363,485
0,2,0,-0.0,1.5800000429153442,15.621919631958008,861.506069996135,27,-860,211,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.630034685134888,861.2683209061532,27,-860,210,133,1116,49,1363,485
-1,3,0,-0.8733332753181458,2.6199998259544373,15.637928485870361,860.7960216908754,27,-860,208,133,1116,49,1363,485
