dx,dy,button,rx,ry,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID
11,12,0,18.47999942302704,20.15999937057495,0.3789334297180176,503.85349466424475,335,387,1753,1044,16,1323,425,19
12,13,0,21.30353021621704,23.078824400901794,0.3867454528808594,472.7202928939031,314,364,1753,1044,16,1323,425,19
11,13,0,19.528236031532288,23.078824400901794,0.3947913646697998,442.89466619156184,295,341,1753,1044,16,1323,425,19
14,14,0,27.1010525226593,27.1010525226593,0.40279436111450195,404.8195731793734,268,314,1753,1044,16,1323,425,19
13,12,0,23.078824400901794,21.30353021621704,0.41083836555480957,373.93454936677307,245,293,1753,1044,16,1323,425,19
12,12,0,20.15999937057495,20.15999937057495,0.4188244342803955,345.7711124441904,225,273,1753,1044,16,1323,425,19
14,12,0,26.047779083251953,22.32666778564453,0.42674946784973145,312.31546949843056,199,251,1753,1044,16,1323,425,19
12,12,0,20.15999937057495,20.15999937057495,0.43481945991516113,284.2362058335688,179,231,1753,1044,16,1323,425,19
11,12,0,18.47999942302704,20.15999937057495,0.44310736656188965,257.409118155349,161,211,1753,1044,16,1323,425,19
11,11,0,17.299333095550537,17.299333095550537,0.450986385345459,233.60298011407062,144,194,1753,1044,16,1323,425,19
10,10,0,14.47857141494751,14.47857141494751,0.45891833305358887,214.03603311174518,130,180,1753,1044,16,1323,425,19
9,8,0,12.187499642372131,10.833333015441895,0.4669914245605469,198.93960471596537,118,170,1753,1044,16,1323,425,19
7,7,0,8.913333177566528,8.913333177566528,0.4749424457550049,187.816240388789,110,162,1753,1044,16,1323,425,19
6,6,0,7.394999742507935,7.394999742507935,0.4827604293823242,178.10212250267324,103,155,1753,1044,16,1323,425,19
6,6,0,7.394999742507935,7.394999742507935,0.4909954071044922,168.40861656959956,96,148,1753,1044,16,1323,425,19
6,7,0,7.639999866485596,8.913333177566528,0.4989924430847168,157.89454481688057,89,140,1753,1044,16,1323,425,19
6,6,0,7.394999742507935,7.394999742507935,0.5067625045776367,148.24659996300718,82,133,1753,1044,16,1323,425,19
7,6,0,8.913333177566528,7.639999866485596,0.5149185657501221,138.12323566086263,74,126,1753,1044,16,1323,425,19
4,6,0,4.720000267028809,7.080000400543213,0.5227844715118408,130.06158046321215,70,119,1753,1044,16,1323,425,19
6,5,0,7.080000400543213,5.900000333786011,0.5309133529663086,122.24976007655445,63,114,1753,1044,16,1323,425,19
4,4,0,4.047999858856201,4.047999858856201,0.5388674736022949,116.82387592123551,59,110,1753,1044,16,1323,425,19
6,5,0,7.080000400543213,5.900000333786011,0.546905517578125,109.17081547894082,52,105,1753,1044,16,1323,425,19
5,4,0,5.558333396911621,4.446666717529297,0.5549314022064209,103.40017953306898,47,101,1753,1044,16,1323,425,19
7,5,0,8.62749969959259,6.162499785423279,0.5629005432128906,94.69371937952194,39,95,1753,1044,16,1323,425,19
7,5,0,8.62749969959259,6.162499785423279,0.5709023475646973,86.2443632266673,31,89,1753,1044,16,1323,425,19
8,5,0,10.186666488647461,6.366666555404663,0.5789923667907715,77.61541917201598,21,83,1753,1044,16,1323,425,19
8,5,0,10.186666488647461,6.366666555404663,0.5868494510650635,69.78174593052023,11,77,1753,1044,16,1323,425,19
6,4,0,7.080000400543213,4.720000267028809,0.5947704315185547,65.10950690573696,4,73,1753,1044,16,1323,425,19
4,5,0,4.446666717529297,5.558333396911621,0.6028764247894287,60.0,0,68,1753,1044,16,1323,425,19
3,3,0,2.7600000500679016,2.7600000500679016,0.6109805107116699,58.03029607687671,-2,66,1753,1044,16,1323,425,19
2,4,0,1.840000033378601,3.680000066757202,0.6188523769378662,55.071388124885914,-3,63,1753,1044,16,1323,425,19
1,3,0,0.8733332753181458,2.6199998259544373,0.6269054412841797,53.07372593840988,-3,61,1753,1044,16,1323,425,19
1,3,0,0.8733332753181458,2.6199998259544373,0.6348333358764648,51.07622195096772,-3,59,1753,1044,16,1323,425,19
1,3,0,0.8733332753181458,2.6199998259544373,0.6427884101867676,49.07889277132134,-3,57,1753,1044,16,1323,425,19
1,3,0,0.8733332753181458,2.6199998259544373,0.6509954929351807,47.08175741568164,-3,55,1753,1044,16,1323,425,19
1,2,0,0.7900000214576721,1.5800000429153442,0.658935546875,46.08326913195984,-3,54,1753,1044,16,1323,425,19
1,3,0,0.8733332753181458,2.6199998259544373,0.6668055057525635,44.08646657242167,-3,52,1753,1044,16,1323,425,19
1,3,0,0.8733332753181458,2.6199998259544373,0.6748964786529541,42.08991914547278,-3,50,1753,1044,16,1323,425,19
1,3,0,0.8733332753181458,2.6199998259544373,0.6828763484954834,40.093658625644196,-3,48,1753,1044,16,1323,425,19
2,4,0,1.840000033378601,3.680000066757202,0.6909034252166748,37.17742799230607,-4,45,1753,1044,16,1323,425,19
1,4,0,0.9200000166893005,3.680000066757202,0.699000358581543,34.190046219457976,-4,42,1753,1044,16,1323,425,19
2,5,0,2.0239999294281006,5.0599998235702515,0.7068383693695068,29.483329627982627,-6,37,1753,1044,16,1323,425,19
3,5,0,3.035999894142151,5.0599998235702515,0.7148945331573486,25.241540277189323,-9,32,1753,1044,16,1323,425,19
3,6,0,3.3350000381469727,6.670000076293945,0.7229053974151611,20.635642126552707,-12,26,1753,1044,16,1323,425,19
3,5,0,3.035999894142151,5.0599998235702515,0.7308733463287354,17.80697580112788,-15,21,1753,1044,16,1323,425,19
2,4,0,1.840000033378601,3.680000066757202,0.739126443862915,16.08318915758459,-16,18,1753,1044,16,1323,425,19
3,4,0,3.035999894142151,4.047999858856201,0.7469773292541504,15.600847442411894,-19,14,1753,1044,16,1323,425,19
2,4,0,1.840000033378601,3.680000066757202,0.7548964023590088,14.825424421026653,-20,11,1753,1044,16,1323,425,19
1,4,0,0.9200000166893005,3.680000066757202,0.7629153728485107,13.540659228538015,-20,8,1753,1044,16,1323,425,19
1,3,0,0.8733332753181458,2.6199998259544373,0.7708945274353027,12.880613017821101,-20,6,1753,1044,16,1323,425,19
1,1,0,0.6899999976158142,0.6899999976158142,0.7789545059204102,12.880613017821101,-20,6,1753,1044,16,1323,425,19
0,2,0,-0.0,1.5800000429153442,0.7872614860534668,12.615528128088304,-20,5,1753,1044,16,1323,425,19
0,1,0,-0.0,0.6899999976158142,0.7947695255279541,12.615528128088304,-20,5,1753,1044,16,1323,425,19
0,1,0,-0.0,0.6899999976158142,0.802889347076416,12.615528128088304,-20,5,1753,1044,16,1323,425,19
0,2,0,-0.0,1.5800000429153442,0.8109145164489746,12.396078054371138,-20,4,1753,1044,16,1323,425,19
-2,1,0,-1.5800000429153442,0.7900000214576721,0.8188765048980713,11.4164878389476,-19,4,1753,1044,16,1323,425,19
-1,1,0,-0.6899999976158142,0.6899999976158142,0.8268115520477295,11.4164878389476,-19,4,1753,1044,16,1323,425,19
-1,1,0,-0.6899999976158142,0.6899999976158142,0.8348994255065918,11.4164878389476,-19,4,1753,1044,16,1323,425,19
-2,1,0,-1.5800000429153442,0.7900000214576721,0.8430783748626709,10.439088914585774,-18,4,1753,1044,16,1323,425,19
-1,2,0,-0.7900000214576721,1.5800000429153442,0.8510863780975342,10.248287590894659,-18,3,1753,1044,16,1323,425,19
-1,2,0,-0.7900000214576721,1.5800000429153442,0.8589725494384766,10.110770276274835,-18,2,1753,1044,16,1323,425,19
-2,1,0,-1.5800000429153442,0.7900000214576721,0.866816520690918,9.11724276862369,-17,2,1753,1044,16,1323,425,19
-2,2,0,-1.5800000429153442,1.5800000429153442,0.8749074935913086,8.031219541881399,-16,1,1753,1044,16,1323,425,19
-1,2,0,-0.7900000214576721,1.5800000429153442,0.8828413486480713,8.0,-16,0,1753,1044,16,1323,425,19
-1,1,0,-0.6899999976158142,0.6899999976158142,0.8910064697265625,8.0,-16,0,1753,1044,16,1323,425,19
-1,1,0,-0.6899999976158142,0.6899999976158142,0.8989574909210205,8.0,-16,0,1753,1044,16,1323,425,19
-1,1,0,-0.6899999976158142,0.6899999976158142,0.9069733619689941,8.0,-16,0,1753,1044,16,1323,425,19
0,1,0,-0.0,0.6899999976158142,0.9148845672607422,8.0,-16,0,1753,1044,16,1323,425,19
-2,0,0,-1.5800000429153442,-0.0,0.9228503704071045,7.0,-15,0,1753,1044,16,1323,425,19
-1,1,0,-0.6899999976158142,0.6899999976158142,0.9308643341064453,7.0,-15,0,1753,1044,16,1323,425,19
-2,1,0,-1.5800000429153442,0.7900000214576721,0.9389224052429199,6.0,-14,0,1753,1044,16,1323,425,19
-2,1,0,-1.5800000429153442,0.7900000214576721,0.9469444751739502,5.0,-13,0,1753,1044,16,1323,425,19
-2,0,0,-1.5800000429153442,-0.0,0.9548983573913574,4.0,-12,0,1753,1044,16,1323,425,19
-2,1,0,-1.5800000429153442,0.7900000214576721,0.9628214836120605,3.0,-11,0,1753,1044,16,1323,425,19
-2,0,0,-1.5800000429153442,-0.0,0.9709234237670898,2.0,-10,0,1753,1044,16,1323,425,19
-3,0,0,-2.6199998259544373,-0.0,0.9789993762969971,0.0,-8,0,1753,1044,16,1323,425,19
-4,0,0,-3.680000066757202,-0.0,0.9868285655975342,-3.0,-5,0,1753,1044,16,1323,425,19
-4,0,0,-3.680000066757202,-0.0,0.9949123859405518,-6.0,-2,0,1753,1044,16,1323,425,19
-3,0,0,-2.6199998259544373,-0.0,1.002913475036621,-8.0,0,0,1753,1044,16,1323,425,19
-2,0,0,-1.5800000429153442,-0.0,1.0108253955841064,-7.0,1,0,1753,1044,16,1323,425,19
0,0,1,-0.0,-0.0,1.0500354766845703,-7.0,1,0,1753,1044,16,1323,425,19
