dx,dy,rx,ry,button,time,targetX,targetY,targetSize,distance,directionX,directionY
0,2,-0.0,1.309999942779541,0,1.2861504554748535,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.2861604690551758,133,24,53,955.5694637230723,-828,-477
-1,1,-0.5799999833106995,0.5799999833106995,0,1.2879953384399414,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.2932875156402588,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.2933003902435303,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.293947458267212,133,24,53,955.5694637230723,-828,-477
-1,2,-0.6549999713897705,1.309999942779541,0,1.2961723804473877,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.2981715202331543,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.3048913478851318,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.3049054145812988,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.310164451599121,133,24,53,955.5694637230723,-828,-477
-1,2,-0.6549999713897705,1.309999942779541,0,1.3104784488677979,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.3105034828186035,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.3105113506317139,133,24,53,955.5694637230723,-828,-477
-1,2,-0.6549999713897705,1.309999942779541,0,1.3121163845062256,133,24,53,955.5694637230723,-828,-477
0,3,-0.0,2.180000066757202,0,1.3139195442199707,133,24,53,955.5694637230723,-828,-477
-1,2,-0.6549999713897705,1.309999942779541,0,1.3207545280456543,133,24,53,955.5694637230723,-828,-477
0,3,-0.0,2.180000066757202,0,1.3212335109710693,133,24,53,955.5694637230723,-828,-477
-1,2,-0.6549999713897705,1.309999942779541,0,1.3212485313415527,133,24,53,955.5694637230723,-828,-477
-1,3,-0.7266666889190674,2.180000066757202,0,1.3219494819641113,133,24,53,955.5694637230723,-828,-477
-1,3,-0.7266666889190674,2.180000066757202,0,1.3241255283355713,133,24,53,955.5694637230723,-828,-477
0,3,-0.0,2.180000066757202,0,1.3278334140777588,133,24,53,955.5694637230723,-828,-477
-1,3,-0.7266666889190674,2.180000066757202,0,1.328007459640503,133,24,53,955.5694637230723,-828,-477
-1,3,-0.7266666889190674,2.180000066757202,0,1.3301894664764404,133,24,53,955.5694637230723,-828,-477
-1,3,-0.7266666889190674,2.180000066757202,0,1.3321595191955566,133,24,53,955.5694637230723,-828,-477
-1,3,-0.7266666889190674,2.180000066757202,0,1.338698387145996,133,24,53,955.5694637230723,-828,-477
