dx,rx
1,0.6899999976158142
2,1.5800000429153442
1,0.6899999976158142
2,1.5800000429153442
1,0.6899999976158142
2,1.5800000429153442
2,1.5800000429153442
2,1.5800000429153442
2,1.5800000429153442
3,2.6199998259544373
2,1.5800000429153442
2,1.5800000429153442
2,1.5800000429153442
2,1.5800000429153442
1,0.7900000214576721
2,1.5800000429153442
2,1.5800000429153442
3,2.7600000500679016
3,2.7600000500679016
2,1.7466665506362915
2,1.7466665506362915
1,0.8733332753181458
2,1.7466665506362915
1,0.8733332753181458
2,1.5800000429153442
2,1.7466665506362915
2,1.7466665506362915
2,1.5800000429153442
3,2.7600000500679016
1,0.8733332753181458
